CITY_JP	City
#清須市	
#瀬戸市	
#犬山市	
#田原市	
#知多市	
#知多郡南知多町	
#知多郡東浦町	
#知多郡武豊町	
#知多郡美浜町	
#知多郡阿久比町	
#知立市	
#碧南市	
#稲沢市	
#蒲郡市	
#西尾市	
#西春日井郡豊山町	
#豊川市	
#豊明市	
#豊橋市	
#豊田市	
#長久手市	
#額田郡幸田町	
#高浜市	
#愛知郡東郷町	Aichi/Togo
#愛西市	Aisai
#あま市	Ama
#海部郡蟹江町	Ama/Kanie
#海部郡大治町	Ama/Oharu
#海部郡飛島村	Ama/Tobishima
#安城市	Anjo
#半田市	Handa
#一宮市	Ichinomiya
#岩倉市	Iwakura
#刈谷市	Kariya
#春日井市	Kasugai
#北名古屋市	Kitanagoya
#小牧市	Komaki
#江南市	Konan
#みよし市	Miyoshi
#名古屋市熱田区	Nagoya/Atsuta
#名古屋市千種区	Nagoya/Chikusa
#名古屋市東区	Nagoya/Higashi
#名古屋市北区	Nagoya/Kita
#名古屋市名東区	Nagoya/Meito
#名古屋市緑区	Nagoya/Midori
#名古屋市南区	Nagoya/Minami
#名古屋市港区	Nagoya/Minato
#名古屋市瑞穂区	Nagoya/Mizuho
#名古屋市守山区	Nagoya/Moriyama
#名古屋市中区	Nagoya/Naka
#名古屋市中川区	Nagoya/Nakagawa
#名古屋市中村区	Nagoya/Nakamura
#名古屋市西区	Nagoya/Nishi
#名古屋市昭和区	Nagoya/Showa
#名古屋市天白区	Nagoya/Tanpaku
#日進市	Nisshin
#丹羽郡扶桑町	Niwa/Fuso
#丹羽郡大口町	Niwa/Oguchi
#大府市	Obu
#岡崎市	Okazaki
#尾張旭市	Owariasahi
#新城市	Shinshiro
#東海市	Tokai
#常滑市	Tokoname
#津島市	Tsushima
#弥富市	Yatomi
