#Source : http://linkdata.org/work/rdf1s877i
type,Jurisdiction,Charge,phone,email,address,lat,lng,update
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市寿町１１−３２,39.312995,140.561249,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市田中町３−１４,39.313007,140.564783,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市田中町４−２９,39.312669,140.566394,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市田中町８−５,39.311796,140.567625,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町２,39.311667,140.566371,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町９−３,39.311888,140.565758,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町１２−１,39.310613,140.565131,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町１３−１２,39.31099,140.564083,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市寿町８−２２,39.311577,140.563992,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市寿町６−３,39.311796,140.563353,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町１−１５,39.311487,140.561467,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町,39.310923,140.561542,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町３−１６,39.310745,140.56138,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町２−２９,39.3109208,140.5621136,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町６−４７,39.310347,140.562161,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町４−１０,39.309517,140.563181,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町６−１１,39.309988,140.566158,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷一番町４−４,39.310163,140.567884,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町１−３６,39.308804,140.567975,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町５−６,39.307699,140.567582,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町１１−１３,39.306511,140.567036,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横山町２−１,39.304761,140.566241,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市安田原町２,39.302004,140.564739,2013.9.18
