#LINK
#lang	ja
#attribution_name	hashimoto
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	turugamikata_firehydrant
#download_from	http://linkdata.org/work/rdf1s773i
#property	address	municipality	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string	int	float	float	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
1	鞠山№1	182028	35.67997479166667	136.08389613888886	2013.4.22
2	鞠山№2	182028	35.67946518611111	136.08412770555557	2013.4.22
3	鞠山№3	182028	35.679074172222215	136.08440137222223	2013.4.22
4	鞠山№4	182028	35.67844843888888	136.08402510833332	2013.4.22
5	鞠山№5	182028	35.67863532777777	136.0811416861111	2013.4.22
6	鞠山№6	182028	35.678446294444434	136.0799310694444	2013.4.22
7	鞠山№7	182028	35.67856148055556	136.07910276388893	2013.4.22
8	鞠山№8	182028	35.679035863888885	136.0782563638889	2013.4.22
9	鞠山№9	182028	35.67849210833333	136.07791900277778	2013.4.22
10	赤崎№1	182028	35.6879656111111	136.08445731388892	2013.4.22
11	赤崎№2	182028	35.687975466666664	136.08519635000002	2013.4.22
12	赤崎№3	182028	35.68805850833332	136.08605622500002	2013.4.22
13	赤崎№4	182028	35.68791979444444	136.08745037777777	2013.4.22
14	赤崎№5	182028	35.68772770555555	136.0883438638889	2013.4.22
15	赤崎№6	182028	35.6872153	136.08631858888893	2013.4.22
16	赤崎№7	182028	35.68690296388889	136.08736650555556	2013.4.22
17	赤崎№8	182028	35.68566381666667	136.08618720000004	2013.4.22
18	赤崎№9	182028	35.684884475	136.08711781111114	2013.4.22
19	赤崎№10	182028	35.684544430555555	136.08630353888893	2013.4.22
20	赤崎№11	182028	35.68367754166666	136.08702037499998	2013.4.22
21	赤崎№12	182028	35.68239845	136.08519866388886	2013.4.22
22	赤崎№13	182028	35.68120384166667	136.0848685027778	2013.4.22
23	赤崎№14	182028	35.68064803055555	136.0862082916667	2013.4.22
24	田結№1	182028	35.67832342777778	136.0927500666667	2013.4.22
25	田結№2	182028	35.678427669444446	136.0932832083333	2013.4.22
26	田結№3	182028	35.67830084722222	136.09387176111116	2013.4.22
27	田結№4	182028	35.67754793333332	136.09245355555555	2013.4.22
28	田結№5	182028	35.676635936111104	136.09220075000002	2013.4.22
29	田結№6	182028	35.67670349166667	136.092619725	2013.4.22
30	天筒町№1	182028	35.65778243333334	136.07823767222226	2013.4.22
31	天筒町№2	182028	35.65430071944445	136.081461375	2013.4.22
32	角鹿町№1	182028	35.65599570277777	136.07755754166664	2013.4.22
33	角鹿町№2	182028	35.65508788888889	136.07775294166666	2013.4.22
34	角鹿町№3	182028	35.65426820833333	136.07755625277775	2013.4.22
35	角鹿町№4	182028	35.65318485555556	136.0792110083333	2013.4.22
36	角鹿町№5	182028	35.65268044166666	136.079348125	2013.4.22
37	舞崎町№1	182028	35.65260472777778	136.0808511861111	2013.4.22
38	舞崎町№2	182028	35.65144737777777	136.08040035555553	2013.4.22
39	舞崎町№3	182028	35.65140193888888	136.08082503611112	2013.4.22
40	舞崎町№4	182028	35.65200408055555	136.08011697499998	2013.4.22
41	舞崎町№5	182028	35.65080978333334	136.0814210083333	2013.4.22
42	舞崎町№6	182028	35.650797	136.080099	2013.4.22
43	舞崎町№7	182028	35.650091	136.081542	2013.4.22
44	余座№1	182028	35.65299983055555	136.089171538	2013.4.2288888
45	余座№2	182028	35.652970575000005	136.08972689444445	2013.4.22
46	余座№3	182028	35.652511144444446	136.08984333888887	2013.4.22
47	余座№4	182028	35.65268175277778	136.08926517222227	2013.4.22
48	余座№5	182028	35.652497022222214	136.08906927499999	2013.4.22
49	余座№6	182028	35.652297608333335	136.08983725	2013.4.22
50	余座№7	182028	35.65149676944444	136.08669470833337	2013.4.22
51	余座№8	182028	35.652066830555555	136.08815461666666	2013.4.22
52	余座№9	182028	35.65158946666666	136.08985755833334	2013.4.22
53	大蔵№1	182028	35.654266825	136.09132715	2013.4.22
54	大蔵№2	182028	35.65398906388889	136.09114903055558	2013.4.22
55	大蔵№3	182028	35.65347560833332	136.0916662972222	2013.4.22
56	大蔵№4	182028	35.65294214444445	136.091579775	2013.4.22
57	大蔵№5	182028	35.652314919444436	136.0917517888889	2013.4.22
58	大蔵№6	182028	35.651819661111105	136.0913235111111	2013.4.22
59	大蔵№7	182028	35.652943894444434	136.09093361111113	2013.4.22
60	藤ヶ丘町№1	182028	35.65632218055555	136.0878757305556	2013.4.22
61	藤ヶ丘町№2	182028	35.656354980555555	136.08676726388887	2013.4.22
62	藤ヶ丘町№3	182028	35.65567040833334	136.08835312500003	2013.4.22
63	藤ヶ丘町№4	182028	35.65585376666666	136.0870855722222	2013.4.22
64	藤ヶ丘町№5	182028	35.656090880555546	136.08638375	2013.4.22
65	藤ヶ丘町№6	182028	35.65612061388889	136.08589430555554	2013.4.22
66	藤ヶ丘町№7	182028	35.65580181111111	136.08523607222222	2013.4.22
67	藤ヶ丘町№8	182028	35.655107922222214	136.08512026666665	2013.4.22
68	藤ヶ丘町№9	182028	35.65551820555556	136.08591630833334	2013.4.22
69	藤ヶ丘町№10	182028	35.655238061111106	136.08679566944446	2013.4.22
70	藤ヶ丘町№11	182028	35.65513739166666	136.08777715277782	2013.4.22
71	藤ヶ丘町№12	182028	35.65465764999999	136.08643645277778	2013.4.22
72	藤ヶ丘町№13	182028	35.654916025	136.08562046666668	2013.4.22
73	藤ヶ丘町№14	182028	35.654482486111114	136.08546053611113	2013.4.22
74	藤ヶ丘町№15	182028	35.654030258333336	136.08610215000002	2013.4.22
75	河原町№1	182028	35.650663136111106	136.08848174166667	2013.4.22
76	河原町№2	182028	35.65015998888888	136.08698151111113	2013.4.22
77	河原町№3	182028	35.64950369166666	136.08710515555558	2013.4.22
78	河原町№4	182028	35.649176597222215	136.08607491666666	2013.4.22
79	井川№1	182028	35.65003155277778	136.09429203055555	2013.4.22
80	井川№2	182028	35.649196325000005	136.0944108777778	2013.4.22
81	井川№3	182028	35.64883585555555	136.09360850555558	2013.4.22
82	井川№4	182028	35.6484853	136.09209023055556	2013.4.22
83	井川№5	182028	35.647590550000004	136.09166141111115	2013.4.22
84	井川№6	182028	35.64916036944445	136.09147092500004	2013.4.22
85	井川№7	182028	35.649099622222224	136.0955352888889	2013.4.22
86	井川№8	182028	35.64756682777777	136.09413941944445	2013.4.22
87	井川№9	182028	35.646763738888886	136.092799875	2013.4.22
88	井川№10	182028	35.650105911111105	136.09041338055556	2013.4.22
89	谷口№1	182028	35.65189990555555	136.09640330555558	2013.4.22
90	谷口№2	182028	35.65134043333334	136.09738859722225	2013.4.22
91	谷口№3	182028	35.651555736111106	136.09620223333334	2013.4.22
92	川北№1	182028	35.652573225000005	136.09710173333337	2013.4.22
93	川北№2	182028	35.65201771111111	136.09774600833333	2013.4.22
94	相生町№1	182028	35.65636355555555	136.06946585555553	2013.4.22
95	相生町№2	182028	35.656003111111104	136.06814121111108	2013.4.22
96	相生町№3	182028	35.6557325611111	136.06690488611108	2013.4.22
97	相生町№4	182028	35.655285927777776	136.06838380555558	2013.4.22
98	相生町№5	182028	35.655090847222226	136.06987153055553	2013.4.22
99	相生町№6	182028	35.65436194722222	136.06719544444445	2013.4.22
100	相生町№7	182028	35.65473125833334	136.0678262111111	2013.4.22
101	相生町№8	182028	35.65513556111111	136.06759694444443	2013.4.22
102	相生町№9	182028	35.65592301666667	136.06872236944443	2013.4.22
103	相生町№10	182028	35.654477244444436	136.06799927499998	2013.4.22
104	神楽町1丁目№1	182028	35.65473387499999	136.072713175	2013.4.22
105	神楽町1丁目№2	182028	35.65450942499999	136.07118753055556	2013.4.22
106	神楽町1丁目№3	182028	35.654296975	136.071957075	2013.4.22
107	神楽町1丁目№4	182028	35.65380914444445	136.07134054999997	2013.4.22
108	神楽町2丁目№1	182028	35.65425389444444	136.0694300944444	2013.4.22
109	神楽町2丁目№2	182028	35.6540980111111	136.06820315833332	2013.4.22
110	神楽町2丁目№3	182028	35.653543866666666	136.07024560555556	2013.4.22
111	神楽町2丁目№4	182028	35.653463072222216	136.06837823055554	2013.4.22
112	神楽町2丁目№5	182028	35.65331702777778	136.0687370166667	2013.4.22
113	神楽町2丁目№6	182028	35.653509730555555	136.06745769999998	2013.4.22
114	金ヶ崎町№1	182028	35.663265241666664	136.0763810472222	2013.4.22
115	金ヶ崎町№2	182028	35.66225105277778	136.0770463083333	2013.4.22
116	金ヶ崎町№3	182028	35.66150633611112	136.0774788777778	2013.4.22
117	金ヶ崎町№4	182028	35.66178313888889	136.07606715277774	2013.4.22
118	金ヶ崎町№5	182028	35.66186440277778	136.07482621111112	2013.4.22
119	金ヶ崎町№6	182028	35.66007955	136.0763324194444	2013.4.22
120	金ヶ崎町№7	182028	35.665015	136.062691	2013.4.22
121	金ヶ崎町№8	182028	35.664501	136.065312	2013.4.22
122	港町№1	182028	35.66074557222222	136.0757679777778	2013.4.22
123	港町№2	182028	35.66098493055555	136.07453635833335	2013.4.22
124	港町№3	182028	35.66034131388888	136.073850675	2013.4.22
