CITY_JP	City
いわき市	Iwaki
二本松市	Nihonmatsu
伊達市	Date
伊達郡国見町	Date/Kunimi
伊達郡川俣町	Date/Kawamata
伊達郡桑折町	Date/Koori
会津若松市	Aizuwakamatsu
南会津郡南会津町	Minamiaizu/Minamiaizu
南相馬市	Minamisoma
双葉郡双葉町	Futaba/Futaba
双葉郡大熊町	Futaba/Okuma
双葉郡富岡町	Futaba/Tomioka
双葉郡広野町	Futaba/Hirono
双葉郡楢葉町	Futaba/Naraha
双葉郡浪江町	Futaba/Namie
喜多方市	Kitakata
大沼郡会津美里町	Onuma/Aizumisato
安達郡大玉村	Adachi/Otama
岩瀬郡鏡石町	Iwase/Kagamiishi
本宮市	Motomiya
東白川郡塙町	Higashishirakawa/Hanawa
東白川郡棚倉町	Higashishirakawa/Tanagura
河沼郡会津坂下町	Kawanuma/Aizubange
河沼郡湯川村	Kawanuma/Yugawa
田村市	Tamura
田村郡三春町	Tamura/Miharu
田村郡小野町	Tamura/Ono
白河市	Shirakawa
相馬市	Soma
相馬郡新地町	Soma/Shinchi
石川郡平田村	Ishikawa/Hirata
石川郡浅川町	Ishikawa/Asakawa
石川郡玉川村	Ishikawa/Tamakawa
石川郡石川町	Ishikawa/Ishikawa
福島市	Fukushima
耶麻郡猪苗代町	Yama/Inawashiro
耶麻郡磐梯町	Yama/Bandai
耶麻郡西会津町	Yama/Nisiaizu
西白河郡中島村	Nishishirakawa/Nakajima
西白河郡矢吹町	Nishishirakawa/Yabuki
西白河郡西郷村	Nishishirakawa/Nishigo
郡山市	Koriyama
須賀川市	Sukagawa
